Type,Input1,Input2,Input3,F1,F2,F3,F4,F5,F6,Target
person 2,8,546,567,912,-0.01,-0.12,18.49,9.4,-5.25,1
person 2,555,566,911,-0.01,0.99,-0.14,18.25,9.28,-5.07,1
person 2,577,566,912,-0.05,0.98,-0.15,18.19,4.88,-3.3,1
person 2,626,566,910,0,1.01,-0.11,17.82,4.21,-3.05,1
person 2,675,566,908,-0.03,1.03,-0.1,20.87,0.55,-2.26,1
person 2,723,566,901,-0.01,1,-0.15,26.06,7.39,-3.3,1
person 2,773,567,894,-0.02,1,-0.2,23.07,4.58,-3.6,1
person 2,822,567,884,-0.05,0.99,-0.24,17.88,8.73,0.06,1
person 2,870,567,880,-0.02,0.97,-0.22,13.24,10.74,2.69,1
person 2,918,568,882,-0.01,0.98,-0.24,8.48,8.18,5.49,1
person 2,965,568,884,-0.02,1.01,-0.21,14.4,6.04,8.79,1
person 2,1013,568,885,-0.02,1.01,-0.19,22.64,7.57,7.63,1
person 2,1062,569,879,0.04,1.03,-0.25,31.68,4.46,6.29,1
person 2,1110,569,862,0.05,0.97,-0.32,34.48,-0.24,8.48,1
person 2,1159,568,787,0.05,1.02,-0.27,38.82,-1.16,11.29,1
person 2,1209,568,0,0.06,1.14,-0.24,45.96,-7.39,15.75,1
person 2,1257,567,0,0.07,1.38,-0.05,65.25,-1.04,14.71,1
person 2,1304,591,0,0.04,1.63,0.26,112.12,-8.73,11.41,1
person 2,1352,611,0,-0.11,1.19,-0.5,128.91,36.07,19.53,1
person 2,1402,571,687,-0.22,0.96,-0.56,65.92,-3.54,19.9,1
person 2,1453,398,866,-0.11,0.54,-0.02,-10.38,-14.28,16.54,1
person 2,1506,271,872,0.11,0.78,0.07,-92.1,-3.97,4.94,1
person 2,1555,0,868,0.02,0.73,-0.01,-183.04,-13.49,-11.11,1
person 2,1607,137,866,0.38,1.01,0.1,-246.4,-2.38,16.36,1
person 2,1658,453,854,0,1.41,-0.4,-253.54,53.04,14.28,1
person 2,1710,521,852,0.2,1.4,-0.33,-238.4,54.08,-1.53,1
person 2,1762,505,852,0.21,1.21,-0.3,-180.66,65.98,-6.65,1
person 2,1814,365,852,0.12,1.01,-0.26,-100.16,69.7,0.43,1
person 2,1865,244,851,0.15,0.91,-0.25,-14.1,42.72,-0.85,1
person 2,1915,31,806,0.05,1.05,-0.37,56.88,-30.82,-4.33,1
person 2,1966,219,846,0.21,1.17,1.14,44.31,-116.46,-7.32,1
person 2,2017,276,903,0.16,1.33,0.16,66.96,69.64,1.77,1
person 2,2065,397,912,0.06,1.04,-0.07,69.03,-15.56,-5.31,1
person 2,2115,587,914,0,1.09,0.2,58.59,-37.6,-20.26,1
person 2,2167,585,915,0.01,1.01,0.14,65.12,16.05,-0.43,1
person 2,2216,572,915,0.07,1.02,0.09,50.29,-8.06,0.73,1
person 2,2265,568,915,0.04,1.1,0.11,48.58,6.16,4.09,1
person 2,2311,567,915,0.02,1.02,0.08,43.03,-5.49,1.71,1
person 2,2359,568,915,-0.01,1.01,0.04,45.59,-6.9,3.48,1
person 2,2408,569,914,0.07,1.02,-0.02,46.51,-8.67,3.17,1
person 2,2457,570,915,0.02,1.01,0.04,56.21,-4.39,4.09,1
person 2,2504,572,914,0.07,0.99,-0.06,55.85,0.55,4.58,1
person 2,2552,572,912,0.05,1,-0.07,63.84,-3.66,2.81,1
person 2,2601,573,903,-0.05,1.07,-0.43,74.46,18.74,2.2,1
person 2,2651,573,873,0.18,1.23,-0.17,75.13,-7.51,5.31,1
person 2,2700,575,805,0.18,1.11,-0.28,85.21,-11.17,12.08,1
person 2,2751,588,0,0.12,2.03,0.19,106.63,-21.67,20.39,1
person 2,2800,626,364,-0.05,0.9,-0.12,108.58,5.13,16.97,1
person 2,2850,611,613,-0.24,0.88,-0.48,94.06,-6.35,29.17,1
person 2,2902,515,870,0,0.72,0.11,33.14,31.25,14.71,1
person 2,2951,529,871,0.1,0.81,0.14,-50.05,5.62,-4.03,1
person 2,3000,347,870,0.08,0.8,-0.3,-107.3,4.76,-19.35,1
person 2,3051,0,865,0.15,0.8,-0.03,-180.36,-39.92,-22.03,1
person 2,3103,470,863,0.18,1.16,-0.16,-201.72,33.87,-5.92,1
person 2,3155,550,858,0.12,1.29,-0.43,-205.51,44.13,-8.06,1
person 2,3208,562,854,0.21,1.18,-0.38,-197.88,49.99,-8.18,1
person 2,3260,568,852,0.16,1.22,-0.39,-164.49,45.72,-3.11,1
person 2,3311,558,850,0.2,1.09,-0.52,-107.18,39.67,2.01,1
person 2,3362,377,733,0.18,0.96,-0.33,-13.31,-6.47,0.18,1
person 2,3412,0,861,0.15,0.97,-0.28,56.7,-21.97,-2.99,1
person 2,3462,254,898,0.18,0.96,2.07,29.42,-78.25,-17.76,1
person 2,3512,563,910,0.15,0.95,-0.27,83.92,20.02,-6.41,1
person 2,3562,594,909,0.01,1.08,0,77.39,-41.5,-19.78,1
person 2,3614,574,909,0.03,0.98,0.16,76.48,6.9,4.46,1
person 2,3661,570,909,-0.03,1.06,-0.05,49.93,-12.51,2.5,1
person 2,3712,569,909,0.03,1.03,0.07,40.65,-8.67,2.01,1
person 2,3760,569,909,0.08,1.22,0.26,33.2,-11.72,4.46,1
person 2,3809,568,910,0.03,1,0.02,31.19,-8.61,4.03,1
person 2,3857,569,910,0.03,1.01,0,36.74,1.1,5.55,1
person 2,3904,569,910,0.03,1,-0.04,34.24,-0.06,6.41,1
person 2,3953,570,909,0.03,0.99,-0.05,39.86,-3.72,6.71,1
person 2,4002,571,908,0.08,1.01,-0.09,48.89,3.23,7.02,1
person 2,4049,572,906,0.06,1.05,-0.17,55.42,-0.06,7.93,1
person 2,4099,572,891,0.09,1.09,-0.17,66.28,4.7,5.98,1
person 2,4147,572,864,0.19,1.09,-0.21,69.09,12.08,6.29,1
person 2,4196,572,0,0.2,1.22,-0.08,89.42,9.7,8.79,1
person 2,4241,586,412,0.13,1.76,0.36,124.76,-32.53,15.2,1
person 2,4292,629,0,-0.03,1.08,-0.34,148.44,10.01,7.14,1
person 2,4341,608,743,-0.23,0.86,-0.5,105.35,-6.41,24.78,1
person 2,4393,554,865,0.03,0.5,-0.02,28.93,23.44,10.74,1
person 2,4443,573,862,0.09,0.71,0.14,-65.25,4.21,-4.21,1
person 2,4492,581,851,0.08,0.87,-0.26,-129.21,-13.43,-11.78,1
person 2,4546,601,235,0.17,0.96,-0.14,-182.8,-15.56,-20.45,1
person 2,4600,614,0,0.17,1.13,-0.36,-197.14,3.36,-9.03,1
person 2,4648,618,2,0.14,1.14,-0.33,-202.82,-2.14,1.59,1
person 2,4698,618,0,-0.06,1.14,-0.48,-184.69,12.27,3.17,1
person 2,4748,617,0,0.08,1.12,-0.22,-160.95,33.45,3.66,1
person 2,4797,615,143,0.2,1.17,-0.52,-113.46,99.49,5.92,1
person 2,4847,601,207,0.16,1.01,-0.49,-54.81,22.28,-6.41,1
person 2,4898,560,870,0.15,0.93,-0.71,53.22,-18.49,-8.54,1
person 2,4950,295,898,0.86,1.22,2.05,56.82,-141.54,-43.27,1
person 2,5002,586,907,0.13,0.77,-0.07,107.42,-8.54,-8.42,1
person 2,5053,590,907,0.28,1.02,-0.04,71.84,-37.84,-14.95,1
person 2,5104,579,906,-0.01,0.99,-0.04,61.95,15.99,-0.61,1
person 2,5155,575,907,0.02,1.04,0.12,35.77,-1.22,0.31,1
person 2,5203,575,906,0,1.02,0.06,29.6,8.18,-0.24,1
person 2,5253,576,906,-0.05,0.99,-0.01,33.26,7.02,0.61,1
person 2,5301,577,907,-0.02,0.99,-0.01,35.16,13.67,4.27,1
person 2,5351,577,906,-0.03,1.03,-0.02,36.44,4.52,5.62,1
person 2,5400,577,905,0,1.06,-0.07,42.85,11.54,5.62,1
person 2,5448,577,903,0.01,1.11,0.01,49.19,6.16,0.67,1
person 2,5495,577,895,0.06,0.99,-0.15,68.3,-5.86,1.16,1
person 2,5544,578,877,0.09,1.19,-0.11,95.15,-23.13,0.37,1
person 2,5595,578,809,0.21,1.15,-0.29,119.69,-12.63,-0.37,1
person 2,5646,585,80,0.19,1.24,-0.12,108.7,0.37,2.69,1
person 2,5694,612,448,-0.02,1.76,0.44,124.57,-19.23,8.18,1
person 2,5745,630,29,-0.42,1,-1.17,128.72,22.71,31.07,1
person 2,5796,581,879,0.13,0.84,0.21,43.21,-82.21,25.02,1
person 2,5846,571,860,-0.02,0.8,0.29,-26.12,-31.56,17.33,1
person 2,5898,577,859,0.14,0.78,0.12,-99.06,16.66,15.56,1
person 2,5948,583,793,0.04,0.82,-0.2,-166.2,27.22,8.24,1
person 2,5999,594,482,0.26,0.9,-0.08,-198,40.59,21.61,1
person 2,6051,604,324,0.11,1.03,-0.34,-221.98,35.89,11.11,1
person 2,6103,611,261,0.16,1.23,-0.54,-202.76,33.08,-0.31,1
person 2,6155,613,261,0.17,1.14,-0.51,-175.6,0.92,-5.07,1
person 2,6206,612,229,0.11,1.19,-0.44,-106.69,50.66,7.57,1
person 2,6257,604,225,0.13,1.03,-0.73,-21.85,54.57,4.82,1
person 2,6306,577,872,0.18,0.97,-0.65,69.15,36.25,-1.89,1
person 2,6356,541,903,0.76,1.4,0.67,102.11,23.44,-12.21,1
person 2,6408,586,908,-0.06,1.13,-0.35,66.77,-16.72,-28.56,1
person 2,6461,578,908,0.05,1.08,0.06,62.56,-15.63,-13.92,1
person 2,6511,574,907,0.01,1.05,-0.05,58.53,5.74,-1.4,1
person 2,6560,573,907,0.08,1.01,0.1,33.02,-8.42,0.79,1
person 2,6608,574,908,0.01,0.98,0.02,30.09,5.13,-0.49,1
person 2,6657,574,908,-0.01,1,0.06,29.97,-3.11,4.64,1
person 2,6705,574,907,-0.02,1.02,-0.04,34.67,-6.65,6.53,1
person 2,6755,576,908,0.09,1.01,-0.02,45.65,-9.52,7.51,1
person 2,6804,576,908,-0.03,0.96,-0.18,47.67,-3.54,5.07,1
person 2,6854,577,907,0.05,0.94,-0.2,50.6,-0.79,5.55,1
person 2,6902,577,906,0.05,0.96,-0.2,57.37,-3.78,7.2,1
person 2,6951,578,902,0.09,1.09,-0.25,64.82,-3.72,8.36,1
person 2,7001,579,875,0.17,1.21,-0.16,68.79,-1.71,9.03,1
person 2,7050,581,709,0.25,1.67,-0.13,105.22,17.21,12.94,1
person 2,7100,605,461,0.1,1.69,0.53,130.55,-18.92,14.04,1
person 2,7151,633,0,-0.38,0.97,-0.95,140.99,76.17,27.59,1
person 2,7201,587,879,-0.24,0.89,-0.12,45.1,-47.73,26,1
person 2,7254,578,868,-0.01,0.65,0.08,-50.72,-34.91,8.06,1
person 2,7304,585,862,0.05,0.72,-0.2,-111.76,-50.05,-0.85,1
