Type,Input1,Input2,Input3,F1,F2,F3,F4,F5,F6,Target
person 3,546,554,851,0.11,1.01,-0.18,10.38,1.89,9.58,1
person 3,555,554,850,0.1,1,-0.19,10.25,1.95,9.58,1
person 3,573,554,845,0.11,1.02,-0.17,11.17,-1.16,9.4,1
person 3,621,554,841,0.15,1.01,-0.17,12.27,-2.44,9.28,1
person 3,669,554,833,0.11,1.03,-0.16,14.59,-4.64,8.24,1
person 3,716,554,742,0.13,1.05,-0.21,18.13,0.67,9.7,1
person 3,763,547,0,0.14,1.1,-0.11,21.67,-5.92,12.27,1
person 3,811,518,0,0.08,1.07,-0.2,25.02,0.12,12.27,1
person 3,856,230,0,-0.02,1.11,-0.11,25.63,-12.15,2.08,1
person 3,904,273,0,0.13,1,0.11,-0.73,-32.59,-1.65,1
person 3,951,256,0,0.08,0.98,0.12,-22.58,1.77,-3.3,1
person 3,997,230,0,0.13,0.96,0.07,-55.54,17.4,-10.5,1
person 3,1044,206,0,0.16,0.98,0.04,-80.81,12.33,-12.08,1
person 3,1093,0,0,0.17,1.04,-0.02,-95.76,3.97,-9.64,1
person 3,1139,0,0,0.17,1.04,-0.05,-100.77,5.74,-6.71,1
person 3,1185,0,0,0.17,1.04,0,-96.19,8,-4.15,1
person 3,1230,0,0,0.16,1.02,-0.06,-83.5,23.62,0.18,1
person 3,1276,0,0,0.13,0.97,-0.11,-65.73,18.62,-0.43,1
person 3,1324,0,0,0.14,0.95,-0.07,-43.95,26.79,-2.38,1
person 3,1370,0,0,0.12,1,-0.16,-24.23,27.34,-2.87,1
person 3,1417,0,0,0.15,0.99,-0.15,0.31,17.4,-1.22,1
person 3,1462,0,842,0.07,0.97,-0.25,23.8,6.65,0.61,1
person 3,1507,146,872,0.05,1.14,0.79,13.92,-22.58,-1.1,1
person 3,1557,331,902,0.07,1.01,-0.23,71.04,22.28,-5.31,1
person 3,1607,438,906,-0.05,1.01,0.13,45.23,-14.16,-14.34,1
person 3,1659,564,907,0.07,1.05,-0.09,53.41,3.85,-10.13,1
person 3,1709,551,907,0.05,1.05,-0.05,44.13,-45.59,-9.09,1
person 3,1760,550,907,0.08,1.01,0.07,45.47,-10.93,-2.2,1
person 3,1810,553,908,0.01,1,-0.11,29.91,-15.08,-4.21,1
person 3,1861,554,909,0.04,1,-0.01,33.2,-1.65,-1.77,1
person 3,1910,554,909,0.02,1,-0.04,34.48,-7.69,0.12,1
person 3,1959,555,908,0.04,1.09,-0.05,46.2,-3.17,-1.95,1
person 3,2010,556,907,-0.03,1.03,-0.13,69.7,-12.88,1.1,1
person 3,2061,559,896,-0.01,1.07,-0.18,64.15,11.54,-3.36,1
person 3,2111,557,873,0.14,1.19,-0.1,61.58,11.54,0.37,1
person 3,2160,552,110,0.35,1.52,0.16,117.86,35.83,0,1
person 3,2209,560,0,0.12,1.58,0.25,141.17,20.32,-2.62,1
person 3,2257,594,0,-0.44,0.96,-1.01,122.31,49.5,6.96,1
person 3,2306,528,880,0.15,0.56,0.37,20.63,2.62,2.38,1
person 3,2353,477,838,-0.02,0.69,0.01,-33.14,24.78,4.09,1
person 3,2403,487,823,0.12,0.81,-0.18,-102.23,-8.06,-5.37,1
person 3,2455,511,0,0.2,0.88,-0.12,-144.04,-12.33,-2.81,1
person 3,2505,508,0,0.17,0.98,-0.17,-163.88,18.62,6.65,1
person 3,2554,506,0,0.19,1.04,-0.27,-169.98,22.03,9.16,1
person 3,2604,505,0,0.18,1.04,-0.21,-171.51,10.93,14.71,1
person 3,2653,505,0,0.23,1.03,-0.06,-161.8,41.14,21,1
person 3,2703,478,0,0.12,1.21,-0.41,-127.62,66.35,23.5,1
person 3,2753,307,0,0.08,1.11,-0.37,-75.38,20.02,16.42,1
person 3,2802,362,814,0.08,1.1,-0.52,13.18,18.01,-1.28,1
person 3,2851,312,859,0.11,1.11,0.58,44.8,-41.87,-8,1
person 3,2902,239,900,0.21,1.3,-0.02,67.44,93.08,-4.58,1
